0,0
1,3
2,12
3,10
4,55
5,95
6,116
7,326
8,255
9,478
10,823
11,600
12,744
13,1015
14,1119
15,2053
16,1216
17,1295
18,1599
19,1362
20,1263
21,1691
22,1421
23,1875
24,1651
25,1755
26,2502
27,1857
28,2047
29,2429
30,2293
31,3015
32,2418
33,2406
34,3087
35,2838
36,3086
37,3457
38,3224
39,3370
40,3490
41,3334
42,3936
43,3333
44,3528
45,4023
46,3757
47,3943
48,4384
49,3971
50,4123
51,3982
52,3839
53,3689
54,3621
55,3353
56,3513
57,3154
58,2955
59,2830
60,2657
61,2647
62,2363
63,2231
64,1987
65,1941
66,1865
67,1764
68,1637
69,1529
70,1535
71,1375
72,1372
73,1294
74,1235
75,1296
76,1198
77,1274
78,1218
79,1231
80,1208
81,1305
82,1278
83,1350
84,1363
85,1557
86,1564
87,1597
88,1608
89,1521
90,1727
91,2009
92,2139
93,2372
94,2380
95,2395
96,2758
97,2345
98,2247
99,2302
100,2176
101,2481
102,2617
103,2680
104,3064
105,3275
106,3500
107,3758
108,3963
109,3852
110,4023
111,4030
112,4216
113,3807
114,3582
115,4268
116,3481
117,3835
118,5200
119,4913
120,5393
121,5005
122,4632
123,6321
124,5634
125,5940
126,5893
127,4464
128,5264
129,4856
130,3984
131,4560
132,3778
133,3764
134,4374
135,3488
136,4329
137,3725
138,3303
139,4283
140,3401
141,3142
142,3803
143,2742
144,3367
145,3642
146,2627
147,3237
148,2516
149,2271
150,2956
151,2042
152,2267
153,2395
154,1969
155,2420
156,2244
157,1790
158,2292
159,1789
160,1873
161,2398
162,1813
163,2352
164,2475
165,2171
166,3037
167,2750
168,3023
169,3890
170,3511
171,3843
172,4580
173,4606
174,5781
175,4758
176,4853
177,6411
178,6767
179,6989
180,6471
181,6246
182,7704
183,7426
184,6727
185,7984
186,8210
187,8816
188,8139
189,7637
190,8211
191,8304
192,8161
193,8008
194,7926
195,6752
196,6381
197,6577
198,6330
199,6173
200,6211
201,6052
202,5534
203,5599
204,5656
205,6101
206,6557
207,7378
208,5986
209,5556
210,5785
211,5308
212,4471
213,3830
214,4173
215,4464
216,4420
217,3767
218,3191
219,3135
220,3766
221,3285
222,2813
223,2539
224,2294
225,2070
226,1561
227,1382
228,1165
229,1158
230,895
231,900
232,805
233,704
234,614
235,754
236,708
237,592
238,556
239,496
240,455
241,373
242,408
243,351
244,364
245,360
246,315
247,340
248,331
249,419
250,307
251,281
252,263
253,257
254,362
255,35
